"salesorderkey","orderdate","customerkey","customerfirstname","customerlastname","customeraddress","customercity","cusotmerstate","customerzipcode","customercountry","socialmedia","totalsale","currencykey"
"1326758400000-61012403","2012-01-17T03:08:00Z","1136419200000-187","Seth","Richardson","P.O. Box 195 9569 Dolor Road","Glendale","AZ","86152","USA","DragonHeart2711","5425.36","1"
"1328140800000-81862478","2012-02-02T19:07:00Z","1126224000000-717","Harriet","Morton","P.O. Box 636 9798 Integer St.","Grand Rapids","MI","36840","USA","Daipfi__Zienle","5008.19","1"
"1260662400000-6097284","2009-12-13T19:48:00Z","1106956800000-58","Wendy","Potter","172 Foggy Beacon Crn","Irving","TX","75061","USA","jimmycon","7049.62","1"
"1415836800000-16001773","2014-11-13T12:02:00Z","1194825600000-220","Kimberley","Glass","8661 Egestas. Rd.","Springfield","IL","63074","USA","fernandoblucena","7005.54","1"
"1107820800000-99186386","2005-02-08T02:25:00Z","1254614400000-517","Carter","Dejesus","P.O. Box 496 2040 Semper Rd.","Worcester","MA","39599","USA","iincitanemm","3920.46","1"
"1174089600000-150280653","2007-03-17T08:55:00Z","1228003200000-534","Madeline","Cannon","9534 Nisl. Rd.","Kearney","NE","80860","USA","ElusiveReach","7233.2","1"
"1157414400000-139281252","2006-09-05T21:44:00Z","1345766400000-294","Fallon","Pruitt","Ap #855-746 Fringilla Rd.","Seattle","WA","49114","USA","LaCrossJr","7031.93","1"
"1115683200000-248305769","2005-05-10T23:50:00Z","1178323200000-179","Abigail","Stokes","9534 Nisl. Rd.","Kearney","NE","80860","USA","ElusiveReach","5557.4","1"
"1372982400000-210340677","2013-07-05T13:11:00Z","1311638400000-513","Felix","Figueroa","6176 Dis Avenue","Annapolis","MD","53264","USA","Qbra4134","7863.42","1"
"1359331200000-243136966","2013-01-28T09:47:00Z","1310774400000-207","Wilma","Singleton","Ap #794-8091 Sem Rd.","Chattanooga","TN","69814","USA","Hoenze__Taohya","5806.97","1"
"1276041600000-213325091","2010-06-09T19:54:00Z","1244764800000-386","Jessie","Aumard","117 Foggy Berry Pl","Irving","TX","75061","USA","jorourke5512","2583.88","1"
"1180224000000-21093083","2007-05-27T20:32:00Z","1176681600000-328","Mari","Mullen","2271 Massa. Rd.","St. Petersburg","FL","20573","USA","ilinnsand","3743.99","1"
"1226016000000-237903275","2008-11-07T14:12:00Z","1110844800000-60","Unity","Powell","P.O. Box 383 8086 Lorem St.","Gary","IN","50443","USA","WY_Noticias_mx","6089.15","1"
"1270598400000-179627317","2010-04-07T01:11:00Z","1311811200000-352","Cora","Rios","Ap #996-9830 Morbi Street","Wyoming","WY","46978","USA","ply_by","6793","1"
"1204329600000-146209247","2008-03-01T13:55:00Z","1115510400000-49","Wayne","Morrow","9254 Non Street","Sandy","UT","48703","USA","Cuojpi__Paupso","8502.37","1"
"1329004800000-171220740","2012-02-12T10:04:00Z","1203552000000-685","Adria","Norton","Ap #842-5525 A Ave","Fort Smith","AR","72050","USA","walichochicho","5433.96","1"
"1150416000000-27497328","2006-06-16T01:30:00Z","1147564800000-154","John","Steele","P.O. Box 764 6757 Id Rd.","Chandler","AZ","85283","USA","AlexanderJepse2","8351.95","1"
"1217808000000-176641655","2008-08-04T09:35:00Z","1161648000000-271","Lillith","Turner","373-3702 Sit St.","Oklahoma City","OK","47301","USA","_KingOfTheHill1","5504.07","1"
"1186790400000-41086924","2007-08-11T22:59:00Z","1190505600000-677","Dante","Floyd","176 Cozy Barn Ave","Mentor","OH","44060","USA","VZWHowie","6450.09","1"
"1147996800000-34814518","2006-05-19T04:51:00Z","1298678400000-77","Drake","Foster","3994 Libero. Ave","Worcester","MA","48619","USA","LarkaLouise","8837.77","1"
"1217808000000-237098122","2008-08-04T20:39:00Z","1104883200000-463","Randall","Summers","P.O. Box 138 7921 Odio. Ave","Fresno","CA","92332","USA","Zoikka__Buesmo","3714.91","1"
"1164844800000-312466434","2006-11-30T16:58:00Z","1164153600000-189","Leigh","Atkins","6619 Consectetuer Rd.","Kansas City","KS","27059","USA","erikssoonnnn","5487.94","1"
"1129939200000-95501123","2005-10-22T15:51:00Z","1175558400000-479","Celeste","Robertson","Ap #800-8972 Donec St.","Naperville","IL","61804","USA","Ha1varsson","6806.76","1"
"1336694400000-219905872","2012-05-11T03:36:00Z","1162771200000-194","Cameran","Sweeney","P.O. Box 525 1156 Sed Rd.","Jonesboro","AR","71993","USA","yurdundaparya","4976.13","1"
"1107388800000-70666134","2005-02-03T13:17:00Z","1143590400000-497","Hop","Gardner","1947 Quisque St.","Memphis","TN","83243","USA","LIZ2085","11536.03","1"
"1129939200000-172396146","2005-10-22T22:03:00Z","1280188800000-325","Kirk","Shepherd","823-9532 Augue St.","Spokane","WA","80115","USA","Neijma__Siumno","6616.69","1"
"1164844800000-65615789","2006-11-30T13:42:00Z","1249430400000-339","Sonni","Irolla","75 Cotton Butterfly Ct","Austin","TX","78710","USA","mybullfrogJobs","6113.96","1"
"1203033600000-28561163","2008-02-15T05:05:00Z","1118620800000-13","Hu","Huffman","Ap #291-7041 Eget Rd.","Toledo","OH","30416","USA","GiselleeGomzale","5495.6","1"
"1234915200000-130303416","2009-02-18T23:01:00Z","1106352000000-616","Sophia","Olsen","P.O. Box 602 6675 Ipsum St.","Springfield","IL","41563","USA","ZolaicaMoon","6131.96","1"
"1332288000000-19731716","2012-03-21T15:03:00Z","1314057600000-528","Chase","Robinson","8820 Molestie Av.","South Bend","IN","39819","USA","Fiippu__Niozgi","8000.23","1"
"1360022400000-96926638","2013-02-05T15:46:00Z","1115942400000-57","Moana","Blankenship","Ap #842-5525 A Ave","Fort Smith","AR","72050","USA","walichochicho","6667.93","1"
"1416960000000-309134025","2014-11-26T06:06:00Z","1171411200000-432","Julian","Price","898-4333 Ipsum St.","Columbia","MO","36721","USA","CarinLind","10279.14","1"
"1157414400000-15193443","2006-09-05T07:47:00Z","1192665600000-50","Amy","Brewer","667-2422 Bibendum. Ave","Springfield","IL","94614","USA","twiiitter4ewe","7832.27","1"
"1115683200000-49494520","2005-05-10T19:56:00Z","1114387200000-230","Ezra","Barnett","P.O. Box 456 7597 Tempor St.","Gillette","WY","44046","USA","CodeAndCommand","4963.36","1"
"1397865600000-24749764","2014-04-19T22:48:00Z","1246060800000-158","Jin","Myers","172 Foggy Beacon Crn","Irving","TX","75061","USA","jimmycon","4994.36","1"
"1180224000000-60532019","2007-05-27T13:26:00Z","1120435200000-38","Kirby","Ford","Ap #917-9200 Duis St.","San Jose","CA","93671","USA","1UglyEngineer","7706.72","1"
"1204329600000-8971447","2008-03-01T16:21:00Z","1375056000000-225","Ursa","Moran","Ap #374-2686 Mauris Rd.","Orlando","FL","80938","USA","TheEDkinsMaster","5986.58","1"
"1271635200000-26661456","2010-04-19T22:13:00Z","1200355200000-579","Eleanor","Dudley","P.O. Box 573 1927 Neque. Rd.","Henderson","NV","71229","USA","Huokno__Peusyi","5569.06","1"
"1234569600000-72594394","2009-02-14T18:53:00Z","1161820800000-710","Shoshana","Duran","Ap #938-8659 Vitae St.","Waterbury","CT","77216","USA","mscmd01","6702.94","1"
"1278720000000-204308339","2010-07-10T04:36:00Z","1123027200000-633","Eden","Hawkins","P.O. Box 920 9897 Integer St.","Tulsa","OK","73222","USA","_up_and_away_","3527.71","1"
"1178323200000-39839927","2007-05-05T10:11:00Z","1135209600000-449","Shaine","Leach","8632 Velit Ave","West Jordan","UT","75439","USA","Jebrynk","7412.88","1"
"1260662400000-174481887","2009-12-13T01:51:00Z","1110326400000-13","Hedwig","Landry","328 Tortor Ave","Rochester","MN","23230","USA","DxLT2","4952.55","1"
"1180224000000-224089622","2007-05-27T23:16:00Z","1261008000000-158","Ariana","Livingston","Ap #736-7445 Proin Road","Helena","MT","51038","USA","ReinaldoKuri","8118.39","1"
"1268438400000-21571450","2010-03-13T23:37:00Z","1107734400000-307","Halla","Crosby","497-9705 Nulla Road","Bellevue","WA","89558","USA","AndreMaradiaga","8687.42","1"
"1203033600000-88411770","2008-02-15T19:02:00Z","1280880000000-295","Zelenia","Hamilton","Ap #302-5238 In Avenue","Indianapolis","IN","36577","USA","It4love","3064.76","1"
"1164844800000-227141548","2006-11-30T13:14:00Z","1265760000000-545","Jolie","Williams","466-4715 Id Avenue","Montpelier","VT","96905","USA","cimbom_551","2742.7","1"
"1260662400000-116320093","2009-12-13T23:20:00Z","1141516800000-582","Kessie","Sims","5044 Nec Av.","Chandler","AZ","86351","USA","Richardisonline","7945","1"
"1150243200000-167973884","2006-06-14T09:19:00Z","1210377600000-248","Dorothy","Klein","9966 Adipiscing St.","Seattle","WA","97263","USA","moaanderssson","4703.83","1"
"1272672000000-201680720","2010-05-01T03:52:00Z","1137024000000-393","Brenna","Horne","P.O. Box 104 8839 A Rd.","New Haven","CT","66514","USA","oktayabin","5070.82","1"
"1107388800000-124266846","2005-02-03T11:49:00Z","1108857600000-677","Nita","Lee","5904 Tincidunt Av.","Paradise","NV","11505","USA","Yaifli__Fooqge","7311.38","1"
"1377129600000-178086970","2013-08-22T22:10:00Z","1105315200000-218","May","Brugnera","83 Cinder Beacon Rd","Dallas","TX","75260","USA","cyberparse","6296.7","1"
"1272672000000-3423964","2010-05-01T06:02:00Z","1370995200000-414","Lee","Cervantes","Ap #740-2242 Id Avenue","Ketchikan","AK","99651","USA","NbSaibotGames","5403.14","1"
"1107820800000-204282375","2005-02-08T05:40:00Z","1176681600000-6","Signe","Sharp","458-6484 Ut St.","Lowell","MA","86788","USA","_________Nassim","3950","1"
"1246320000000-65387222","2009-06-30T03:43:00Z","1211587200000-521","Rudyard","Wolfe","Ap #105-6805 Non Rd.","Columbia","MD","94179","USA","BabyBooReed","7522.05","1"
"1219017600000-134002044","2008-08-18T06:48:00Z","1111795200000-352","Louis","Mcdonald","Ap #999-8374 Mus. Rd.","Los Angeles","CA","94090","USA","meliorismo","4781.89","1"
"1226016000000-84351669","2008-11-07T15:30:00Z","1293580800000-12","Hayley","Blevins","Ap #622-4197 Arcu. Ave","Dover","DE","95573","USA","lawm61","5411.22","1"
"1328140800000-207327208","2012-02-02T06:39:00Z","1104710400000-241","Glenna","Kirby","8905 Metus Avenue","Boston","MA","66808","USA","SquadSoldier","4103.4","1"
"1150243200000-11492705","2006-06-14T02:38:00Z","1184630400000-202","Raja","Whitley","P.O. Box 894 3959 Sem St.","Honolulu","HI","13659","USA","hattense","7700.97","1"
"1306972800000-10971126","2011-06-02T17:34:00Z","1204588800000-644","Kirestin","Russo","8569 Ut Street","Allentown","PA","88672","USA","jennyholgersson","6251.19","1"
"1292889600000-171406202","2010-12-21T03:09:00Z","1183420800000-319","Priscilla","Bryan","Ap #382-5441 Ullamcorper St.","Columbus","OH","63861","USA","mmalineeriksson","3856.79","1"
"1379635200000-227017822","2013-09-20T05:18:00Z","1113782400000-587","Xandra","Benson","Ap #782-4747 Metus. St.","Spokane","WA","18552","USA","riobosimplicio","10571.95","1"
"1186790400000-217100577","2007-08-11T11:19:00Z","1156809600000-511","Grady","Burns","967-1612 Nulla Ave","Jefferson City","MO","12118","USA","JohnnyElzein","7597.59","1"
"1168387200000-170637549","2007-01-10T18:37:00Z","1251763200000-169","Kay","Flynn","443-3149 Mattis. Rd.","Gaithersburg","MD","26481","USA","Jeikja__Moucxe","5157.05","1"
"1318032000000-52314154","2011-10-08T17:27:00Z","1284940800000-210","Jane","Battle","Ap #462-9237 Curabitur Rd.","Joliet","IL","47412","USA","Rickydeleon14","6320.83","1"
"1150416000000-79738136","2006-06-16T06:36:00Z","1214870400000-552","Mason","Humphrey","357-5205 Tellus Ave","Madison","WI","25334","USA","gokhanorman21","7546.74","1"
"1292976000000-86361890","2010-12-22T22:39:00Z","1106524800000-710","Wanda","Hudson","568 Duis St.","Overland Park","KS","38891","USA","Neclaucrr","7209.17","1"
"1388793600000-142675041","2014-01-04T18:00:00Z","1115510400000-162","Arden","Mccray","Ap #462-9237 Curabitur Rd.","Joliet","IL","47412","USA","Rickydeleon14","8950.8","1"
"1141430400000-207541991","2006-03-04T10:59:00Z","1109548800000-708","Lee","Solomon","1492 Semper Rd.","Harrisburg","PA","99706","USA","carole_kouam","7436.06","1"
"1337385600000-189013330","2012-05-19T06:20:00Z","1271980800000-125","Quincy","Bryan","Ap #996-3531 Quis Road","Chesapeake","VA","72034","USA","svenssssonn","4658.15","1"
"1127779200000-245493539","2005-09-27T05:27:00Z","1220486400000-52","Tarik","Fulton","468-3014 Magnis Ave","Harrisburg","PA","55168","USA","CellPhoneGeeks","7324.98","1"
"1383782400000-162762505","2013-11-07T01:58:00Z","1147737600000-594","Alden","Nixon","P.O. Box 515 7161 Nec St.","Chattanooga","TN","46751","USA","alfonso_435","9042.93","1"
"1192924800000-139926809","2007-10-21T11:34:00Z","1191974400000-216","Tanisha","Simpson","P.O. Box 760 5082 Cursus Road","Stamford","CT","86918","USA","zetterbergskan","8472.3","1"
"1129680000000-170683752","2005-10-19T13:27:00Z","1115596800000-204","Wade","Haney","P.O. Box 742 1416 Sodales. Ave","Shreveport","LA","13601","USA","dilaraisik__","4468.18","1"
"1148947200000-216648089","2006-05-30T04:25:00Z","1200873600000-273","Carl","Stout","546-8015 Fringilla. Rd.","Tallahassee","FL","36295","USA","veridialulrico3","5101.38","1"
"1341273600000-135551930","2012-07-03T15:20:00Z","1143849600000-465","Hedwig","Briggs","750-4522 Lorem Road","Casper","WY","79489","USA","Hiekso__Baezso","3238.36","1"
"1183507200000-165034575","2007-07-04T10:16:00Z","1216944000000-346","Nevada","White","485-5997 Gravida Rd.","Reading","PA","15635","USA","Moevgo__Muobwe","6773.55","1"
"1435190400000-169894679","2015-06-25T14:30:00Z","1137369600000-8","Sloane","Yang","P.O. Box 773 526 Morbi St.","New Haven","CT","18785","USA","vittiverfeliz","5033.87","1"
"1403568000000-215697982","2014-06-24T21:52:00Z","1141776000000-671","Louis","Hebert","Ap #493-5987 Erat Avenue","Bellevue","NE","64404","USA","BeraaHamza","5952.39","1"
"1364515200000-173566141","2013-03-29T16:22:00Z","1318982400000-24","Sara","Holmes","P.O. Box 628 8591 Nisi St.","Bear","DE","67429","USA","MelyPedace","5581.33","1"
"1379635200000-185446249","2013-09-20T16:46:00Z","1358899200000-294","Georgia","Bond","Ap #328-8893 Ridiculus Road","Topeka","KS","53869","USA","Boesru__Heitfu","6725.83","1"
"1341273600000-220311405","2012-07-03T19:29:00Z","1187308800000-167","Brynn","Reilly","9150 Cursus Av.","Topeka","KS","39579","USA","bigkat0877","6717.74","1"
"1137801600000-193685386","2006-01-21T07:58:00Z","1291766400000-340","Tyrone","Leon","Ap #829-6488 Euismod Street","Hillsboro","OR","91732","USA","EastCoast911IA","7187.35","1"
"1226016000000-8570557","2008-11-07T20:33:00Z","1132617600000-340","Chelsea","Vance","62 Fallen Barn Rd","Beloit","WI","53511","USA","Sully_SC","7565.43","1"
"1383782400000-103581309","2013-11-07T21:18:00Z","1130630400000-112","Yolanda","Leon","P.O. Box 607 9138 Ac Street","Boise","ID","85261","USA","hasandikici97","4778.51","1"
"1129939200000-65484122","2005-10-22T20:34:00Z","1118793600000-201","Marshall","Donovan","P.O. Box 470 2302 Nascetur Ave","Lawton","OK","19065","USA","VOLKIOS","6518.35","1"
"1190332800000-118239025","2007-09-21T23:32:00Z","1119830400000-9","Clementine","Jackson","P.O. Box 111 9872 Cum Av.","Idaho Falls","ID","57945","USA","bhr_elv","6299.34","1"
"1190332800000-224215610","2007-09-21T11:40:00Z","1182729600000-67","Coby","Davenport","Ap #113-9248 Facilisis Avenue","Kapolei","HI","96252","USA","mertsrbs","6350.16","1"
"1262649600000-200919848","2010-01-05T21:08:00Z","1127520000000-118","Arsenio","Hayden","373-3702 Sit St.","Oklahoma City","OK","47301","USA","_KingOfTheHill1","3838.55","1"
"1427155200000-15621012","2015-03-24T16:05:00Z","1231718400000-439","Phoebe","Dejesus","Ap #541-7804 Magna. Av.","Springdale","AR","72667","USA","RoiagDeez","5320.25","1"
"1364515200000-62677664","2013-03-29T12:06:00Z","1115510400000-402","John","Moran","Ap #659-4032 Felis Road","Omaha","NE","41590","USA","blastoised","7222.38","1"
"1168387200000-157496197","2007-01-10T11:29:00Z","1141603200000-678","Nicholas","Rose","P.O. Box 879 3723 Nec Road","Minneapolis","MN","47458","USA","alektamovikk","4673.66","1"
"1353974400000-255074296","2012-11-27T08:02:00Z","1324339200000-88","Keane","Villarreal","Ap #659-4032 Felis Road","Omaha","NE","41590","USA","blastoised","7006.24","1"
"1323043200000-90307330","2011-12-05T18:02:00Z","1204934400000-241","Mufutau","Stuart","659-4815 Tincidunt Ave","Billings","MT","85507","USA","sodarklarry","6505.28","1"
"1323993600000-273379632","2011-12-16T03:22:00Z","1134604800000-264","Zena","Skinner","Ap #432-5559 Vivamus Street","Los Angeles","CA","96916","USA","kattbjornen","8187.23","1"
"1246320000000-131290120","2009-06-30T21:43:00Z","1115078400000-527","Scott","Campos","Ap #243-7686 Aenean Street","Kenosha","WI","46610","USA","Oykuovic","6519.62","1"
"1168387200000-243685164","2007-01-10T16:44:00Z","1108771200000-186","Mariam","Bowen","P.O. Box 542 824 Euismod Av.","Kenosha","WI","17462","USA","AysnrSari","7399.82","1"
"1360022400000-94816055","2013-02-05T16:19:00Z","1337731200000-316","Hannah","Medina","P.O. Box 542 824 Euismod Av.","Kenosha","WI","17462","USA","AysnrSari","4888.04","1"
"1150416000000-169162673","2006-06-16T19:11:00Z","1131494400000-557","May","Mccarty","3496 Nunc St.","Augusta","ME","29886","USA","DjerfEmelie","5579.4","1"
"1211760000000-61587410","2008-05-26T10:41:00Z","1351468800000-309","Jeanie","Lacand","91 Easy Barn St","Phoenix","AZ","85026","USA","DesereeSalazar","7730.89","1"
"1406073600000-206607909","2014-07-23T23:56:00Z","1159660800000-659","Merritt","Greer","671-6150 Quam Av.","Orlando","FL","40804","USA","Sep19th86","3875.5","1"
"1160352000000-96531295","2006-10-09T16:24:00Z","1111536000000-475","Myra","Weeks","3490 Nec St.","Gary","IN","57602","USA","TSjlund","5546.63","1"
"1353974400000-83458739","2012-11-27T14:56:00Z","1197763200000-167","Dustin","Slater","P.O. Box 868 7422 Accumsan Road","St. Petersburg","FL","13633","USA","aydinbauer","6800.37","1"
"1397865600000-13867732","2014-04-19T19:18:00Z","1111881600000-247","Beverly","Gilmore","433-8331 Ante. Rd.","Colchester","VT","38240","USA","onlylaarry","6483.68","1"
"1342137600000-111407970","2012-07-13T15:49:00Z","1204416000000-502","Naida","Roth","P.O. Box 127 3400 Lacinia St.","Overland Park","KS","95469","USA","PatrikHedin1","4982.09","1"
"1323993600000-123558123","2011-12-16T06:45:00Z","1130716800000-135","Honorato","Hancock","Ap #136-3679 Ut Rd.","Newark","DE","61145","USA","istencan","7841.56","1"
"1157414400000-166389875","2006-09-05T05:32:00Z","1157500800000-614","Eleanor","Bender","Ap #524-3286 Ornare. Road","Gillette","WY","95261","USA","Woidbi__Roagku","9955.82","1"
"1138320000000-160195487","2006-01-27T22:30:00Z","1131235200000-635","Carolyn","Rowe","P.O. Box 482 5325 Scelerisque Av.","Reno","NV","26993","USA","noramikai","4672.06","1"
"1332115200000-134866876","2012-03-19T09:18:00Z","1114560000000-499","Bradley","Serrano","508-2901 Quis Avenue","Hillsboro","OR","36145","USA","tthaydar15","6889.31","1"
"1409875200000-178274487","2014-09-05T20:25:00Z","1146268800000-74","Salvador","Snow","P.O. Box 697 3411 Nulla Av.","Memphis","TN","34536","USA","Patriciabema","3813.6","1"
"1403136000000-37771017","2014-06-19T18:05:00Z","1304553600000-374","Dennis","Raymond","444-7025 Massa. Street","Akron","OH","54380","USA","wegebrands","3457.52","1"
"1409875200000-53483457","2014-09-05T07:47:00Z","1206748800000-278","Sage","Serrano","667-2422 Bibendum. Ave","Springfield","IL","94614","USA","twiiitter4ewe","5819.53","1"
"1232841600000-96678602","2009-01-25T17:00:00Z","1149897600000-127","Alisa","Hawkins","Ap #153-1536 Pharetra Rd.","Newark","DE","99437","USA","MuteberL","6362.75","1"
"1435190400000-180987911","2015-06-25T14:47:00Z","1172102400000-311","Jana","Douglas","P.O. Box 107 9518 Tellus. Avenue","Omaha","NE","71297","USA","gokyuzukafa","9388.07","1"
"1301443200000-13353794","2011-03-30T10:20:00Z","1219449600000-593","Merrill","Underwood","P.O. Box 573 1927 Neque. Rd.","Henderson","NV","71229","USA","Huokno__Peusyi","5210.34","1"
"1306972800000-220157559","2011-06-02T17:46:00Z","1107043200000-31","Gabriela","Caupin","114 Amber Bear Cds","Chicago","IL","60607","USA","PaulineABotha","6623.16","1"
"1329004800000-216140587","2012-02-12T16:10:00Z","1192924800000-253","Kim","Church","Ap #782-1401 Auctor Road","Springfield","MO","99504","USA","asliylmzr1903","3736.22","1"
"1306972800000-173001346","2011-06-02T03:15:00Z","1127260800000-662","Drew","Figueroa","886-6416 Lacinia Rd.","Seattle","WA","91902","USA","julyixing","7410.44","1"
"1262649600000-70981828","2010-01-05T04:19:00Z","1174521600000-379","Wyatt","Salas","9792 Eu Av.","Cheyenne","WY","42561","USA","Hieiandshino","9692.71","1"
"1178323200000-178590324","2007-05-05T17:16:00Z","1106438400000-469","Elizabeth","Knapp","886-6416 Lacinia Rd.","Seattle","WA","91902","USA","julyixing","5785.19","1"
"1138320000000-196056266","2006-01-27T10:02:00Z","1308268800000-533","Mariko","Rojas","P.O. Box 762 858 Orci Road","Grand Rapids","MI","73107","USA","gizemkidir","8207.89","1"
"1132790400000-235990996","2005-11-24T12:19:00Z","1253318400000-60","Tate","Mckenzie","2470 A St.","Sterling Heights","MI","11931","USA","Anna_Kaya","12125.51","1"
"1246320000000-89838046","2009-06-30T22:23:00Z","1162425600000-167","Iris","Brady","Ap #999-2640 Et St.","Augusta","GA","14687","USA","Gaffeprone_Jack","5358.13","1"
"1268438400000-172552521","2010-03-13T14:17:00Z","1132272000000-540","Aspen","Green","8632 Velit Ave","West Jordan","UT","75439","USA","Jebrynk","7222.46","1"
"1211760000000-198544142","2008-05-26T23:38:00Z","1153353600000-592","Moana","Lopez","P.O. Box 920 9897 Integer St.","Tulsa","OK","73222","USA","_up_and_away_","6656.97","1"
"1262649600000-201162195","2010-01-05T01:14:00Z","1206489600000-247","Ezra","Pittman","3884 In St.","Bangor","ME","15943","USA","ktwong19911","5289.25","1"
"1219017600000-56154604","2008-08-18T14:04:00Z","1106179200000-568","Nolan","Ortiz","P.O. Box 632 5863 Facilisi. Av.","Gary","IN","49704","USA","Starvalley42","5268.74","1"
"1204329600000-170935558","2008-03-01T01:44:00Z","1114041600000-370","Maris","Simpson","8632 Velit Ave","West Jordan","UT","75439","USA","Jebrynk","6058.83","1"
"1107388800000-113721570","2005-02-03T07:24:00Z","1225670400000-566","Lesley","Banks","Ap #999-2640 Et St.","Augusta","GA","14687","USA","Gaffeprone_Jack","5766.5","1"
"1267401600000-132628111","2010-03-01T11:42:00Z","1127865600000-158","Zoe","Garza","1641 Risus Rd.","Fort Worth","TX","20649","USA","sekizincia","5174.05","1"
"1383782400000-718211","2013-11-07T21:49:00Z","1188950400000-261","Paul","Buckley","Ap #720-4806 Dui Ave","Oklahoma City","OK","90230","USA","Bioski__Wiophi","5974.44","1"
"1292976000000-274932888","2010-12-22T15:04:00Z","1148860800000-179","Garth","Rodgers","5585 Tincidunt Avenue","Pike Creek","DE","60650","USA","vivekadawks","7319.13","1"
"1203033600000-33322751","2008-02-15T05:55:00Z","1290470400000-194","Daryl","Stanton","247-5161 Amet St.","Kailua","HI","44569","USA","beyinharmani","7977.63","1"
"1217462400000-171955363","2008-07-31T11:50:00Z","1288396800000-256","Declan","Guthrie","7194 Dignissim St.","Minneapolis","MN","93467","USA","laurenpompa","4743.55","1"
"1264291200000-172404880","2010-01-24T17:33:00Z","1353196800000-29","Valentine","Hess","P.O. Box 478 3712 Sed St.","Mesa","AZ","86082","USA","PerTistad","8921.66","1"
"1129939200000-5195486","2005-10-22T23:52:00Z","1135641600000-3","Christopher","Hart","Ap #736-7445 Proin Road","Helena","MT","51038","USA","ReinaldoKuri","8886.69","1"
"1391644800000-31837496","2014-02-06T06:46:00Z","1269734400000-234","Matthew","Leblanc","9389 A St.","Montgomery","AL","36338","USA","AKREPperi","5069.16","1"
"1353974400000-403970847","2012-11-27T21:23:00Z","1106524800000-345","Ocean","Harrington","5585 Tincidunt Avenue","Pike Creek","DE","60650","USA","vivekadawks","4295.8","1"
"1328140800000-93298659","2012-02-02T15:53:00Z","1202515200000-462","Ezekiel","Cobb","Ap #736-7445 Proin Road","Helena","MT","51038","USA","ReinaldoKuri","7723.88","1"
"1147996800000-131467887","2006-05-19T19:12:00Z","1120348800000-133","Xena","Burnett","Ap #630-3404 Ligula. Avenue","Baton Rouge","LA","94128","USA","OscarJanssson","3819.56","1"
"1157414400000-150713651","2006-09-05T19:45:00Z","1105833600000-60","Dacey","Harmon","Ap #189-8553 Amet Avenue","Rockville","MD","40059","USA","news24hswe","5391.21","1"
"1278720000000-86536983","2010-07-10T09:44:00Z","1226620800000-245","Karen","Love","P.O. Box 662 9764 Pharetra Av.","Wilmington","DE","41505","USA","AshleyKam1","7009.02","1"
"1264291200000-227690204","2010-01-24T01:29:00Z","1136073600000-411","Noel","Buckley","322-156 Porttitor Ave","Madison","WI","46587","USA","ClickClackBangg","6857.04","1"
"1212537600000-109081524","2008-06-04T08:33:00Z","1155686400000-290","Kirestin","Kent","P.O. Box 662 9764 Pharetra Av.","Wilmington","DE","41505","USA","AshleyKam1","5788.43","1"
"1186790400000-151191375","2007-08-11T13:01:00Z","1118534400000-271","Hope","Love","373-4732 A St.","Rockford","IL","87791","USA","jaydeeinthecutt","5721.84","1"
"1391731200000-205800901","2014-02-07T02:21:00Z","1152662400000-295","Reagan","Figueroa","159-1233 Ipsum. St.","Atlanta","GA","43704","USA","_91940","6027.05","1"
"1346371200000-247335036","2012-08-31T08:46:00Z","1151625600000-440","Ryan","Albert","Ap #100-6335 Fusce St.","Norman","OK","68669","USA","KSvenberg","5502.97","1"
"1135987200000-261981113","2005-12-31T15:42:00Z","1210291200000-319","Eulaliah","Serventon","197 Dewy Anchor Tce","Plainfield","NJ","7061","USA","knitcowboy","4499.3","1"
"1137801600000-125161852","2006-01-21T23:49:00Z","1137801600000-55","Lucas","Shelton","P.O. Box 908 4814 Mus. St.","Bellevue","WA","51114","USA","wandedob","4424.71","1"
"1328140800000-238642852","2012-02-02T04:55:00Z","1149379200000-564","Jelani","Howard","150 Varius Av.","San Jose","CA","92987","USA","DanielDupoux","4231.75","1"
"1204329600000-216601481","2008-03-01T18:16:00Z","1128124800000-361","Xander","Kennedy","9286 Fringilla Av.","Meridian","ID","42041","USA","sebnembilyaci","5138.8","1"
"1415836800000-269766114","2014-11-13T04:13:00Z","1125705600000-140","Ocean","Haynes","474-5319 Felis Rd.","New Orleans","LA","25816","USA","LillanBerglund","9747.98","1"
"1364515200000-105384727","2013-03-29T21:15:00Z","1160524800000-441","Sara","Hart","Ap #740-2242 Id Avenue","Ketchikan","AK","99651","USA","NbSaibotGames","5325.69","1"
"1129939200000-252501324","2005-10-22T02:39:00Z","1157673600000-25","Arthur","William","474-5319 Felis Rd.","New Orleans","LA","25816","USA","LillanBerglund","6429.18","1"
"1346716800000-135615464","2012-09-04T12:34:00Z","1203206400000-126","Driscoll","Walter","846-5234 Est Rd.","Wilmington","DE","86311","USA","askanison40","3474.35","1"
"1192924800000-57946489","2007-10-21T08:38:00Z","1143676800000-179","Mari","Macdonald","5467 Interdum Rd.","Butte","MT","62356","USA","robosborne1976","6019.74","1"
"1397865600000-18465920","2014-04-19T11:18:00Z","1313280000000-221","Macon","Beasley","P.O. Box 107 9518 Tellus. Avenue","Omaha","NE","71297","USA","gokyuzukafa","6007.94","1"
